"","Scale","Model","Chi2","df","CFI","TLI","RMSEA","Chi2_diff","Chi2_diff_df","Chi2_dfff_p"
"1","configural","adult",24.584,8,0.998,0.998,0.029,NA,NA,NA
"2","metric","adult",47.135,12,0.996,0.997,0.035,21.231,4,3e-04
"3","scalar","adult",90.35,20,0.993,0.997,0.038,46.113,8,0
"4","configural","ghq",3189.686,188,0.95,0.948,0.081,NA,NA,NA
"5","metric","ghq",2180.436,210,0.967,0.969,0.062,51.472,22,4e-04
"6","scalar","ghq",2244.781,254,0.967,0.974,0.057,161.902,44,0
"7","configural","leisurea",412.651,41,0.919,0.911,0.061,NA,NA,NA
"8","metric","leisurea",394.977,51,0.925,0.934,0.052,23.836,10,0.008
"9","scalar","leisurea",611.275,71,0.882,0.925,0.056,265.361,20,0
"10","configural","leisureb",89.511,16,0.985,0.983,0.043,NA,NA,NA
"11","metric","leisureb",92.382,22,0.985,0.988,0.036,11.402,6,0.0767
"12","scalar","leisureb",149.709,34,0.976,0.987,0.037,65.162,12,0
"13","configural","locus",109.742,16,0.945,0.938,0.049,NA,NA,NA
"14","metric","locus",118.804,22,0.943,0.953,0.043,17.02,6,0.0092
"15","scalar","locus",134.166,34,0.941,0.969,0.035,18.433,12,0.1032
"16","configural","bully",160.071,47,0.977,0.969,0.032,NA,NA,NA
"17","metric","bully",160.716,59,0.979,0.978,0.027,26.829,12,0.0082
"18","scalar","bully",182.825,71,0.977,0.98,0.026,26.199,12,0.0101
"19","configural","audit",210.834,3,0.954,0.861,0.166,NA,NA,NA
"20","metric","audit",231.031,7,0.95,0.936,0.113,NA,NA,NA
"21","scalar","audit",223.178,13,0.953,0.967,0.08,NA,NA,NA
