"","var","cat","FTF","TEL","WEB","ftf_tel","ftf_web","tel_web","max_dif"
"1","LEISA0A","1",0.63,0.63,0.63,0,0,0,0
"2","LEISA0A","2",0.76,0.76,0.76,0,0,0,0
"3","LEISA0A","3",0.9,0.9,0.9,0,0,0,0
"4","LEISA0B","1",0.01,0.01,0.01,0,0,0,0
"5","LEISA0B","2",0.33,0.32,0.44,0.03,-0.3,-0.33,0.33
"6","LEISA0B","3",0.88,0.85,0.98,0.15,-0.8,-0.95,0.95
"7","LEISA0C","1",0,0,0,0,0,0,0
"8","LEISA0C","2",0.05,0.06,0.07,-0.1,-0.15,-0.05,0.15
"9","LEISA0C","3",0.49,0.45,0.64,0.1,-0.39,-0.49,0.49
"10","LEISA0D","1",0.14,0.14,0.14,0,0,0,0
"11","LEISA0D","2",0.78,0.69,0.87,0.26,-0.35,-0.61,0.61
"12","LEISA0D","3",0.97,0.95,0.99,0.35,-0.56,-0.91,0.91
"13","LEISA0E","1",0.17,0.17,0.17,0,0,0,0
"14","LEISA0E","2",0.54,0.54,0.64,0,-0.26,-0.26,0.26
"15","LEISA0E","3",0.84,0.77,0.92,0.26,-0.44,-0.7,0.7
"16","LEISA0F","1",0.05,0.05,0.05,0,0,0,0
"17","LEISA0F","2",0.07,0.05,0.11,0.16,-0.24,-0.4,0.4
"18","LEISA0F","3",0.2,0.16,0.41,0.14,-0.62,-0.76,0.76
"19","LEISB0A","1",0,0,0,0,0,0,0
"20","LEISB0A","2",0,0,0,0,0,0,0
"21","LEISB0A","3",0.07,0.07,0.07,0,0,0,0
"22","LEISB0B","1",0.01,0.01,0.01,0,0,0,0
"23","LEISB0B","2",0.13,0.13,0.05,-0.01,0.49,0.5,0.5
"24","LEISB0B","3",0.35,0.38,0.37,-0.08,-0.05,0.03,0.08
"25","LEISB0C","1",0.02,0.02,0.02,0,0,0,0
"26","LEISB0C","2",0.27,0.32,0.24,-0.15,0.1,0.25,0.25
"27","LEISB0C","3",0.66,0.73,0.75,-0.2,-0.26,-0.06,0.26
"28","LEISB0D","1",0,0,0,0,0,0,0
"29","LEISB0D","2",0,0,0,-0.19,-0.02,0.17,0.19
"30","LEISB0D","3",0.04,0.06,0.08,-0.19,-0.31,-0.12,0.31
