"","Scale","Model","Chi2","df","CFI","TLI","RMSEA","Chi2_diff","Chi2_diff_df","Chi2_dfff_p"
"1","configural","bully",228.239,47,0.973,0.964,0.04,NA,NA,NA
"2","metric","bully",190.982,59,0.981,0.979,0.031,19.333,12,0.0808
"3","scalar","bully",245.574,71,0.974,0.977,0.032,61.392,12,0
"4","configural","audit",435.877,3,0.934,0.801,0.239,NA,NA,NA
"5","metric","audit",513.744,7,0.922,0.9,0.169,NA,NA,NA
"6","scalar","audit",506.767,13,0.924,0.948,0.123,NA,NA,NA
"7","configural","adult",18.416,8,0.999,0.999,0.023,NA,NA,NA
"8","metric","adult",51.963,12,0.997,0.998,0.037,29.403,4,0
"9","scalar","adult",101.407,20,0.994,0.997,0.041,53.272,8,0
"10","configural","ghq",5425.116,188,0.942,0.939,0.107,NA,NA,NA
"11","metric","ghq",3752.599,210,0.961,0.963,0.083,67.398,22,0
"12","scalar","ghq",3934.509,254,0.959,0.968,0.077,285.647,44,0
"13","configural","leisurea",558.256,41,0.928,0.921,0.072,NA,NA,NA
"14","metric","leisurea",532.301,51,0.933,0.941,0.062,36.717,10,1e-04
"15","scalar","leisurea",958.597,71,0.876,0.921,0.071,475.238,20,0
"16","configural","leisureb",152.26,16,0.981,0.979,0.059,NA,NA,NA
"17","metric","leisureb",144.147,22,0.983,0.986,0.048,12.132,6,0.0591
"18","scalar","leisureb",278.223,34,0.966,0.982,0.054,144.765,12,0
"19","configural","locus",129.324,16,0.958,0.953,0.054,NA,NA,NA
"20","metric","locus",135.555,22,0.958,0.966,0.046,19.656,6,0.0032
"21","scalar","locus",153.256,34,0.956,0.977,0.038,20.292,12,0.0618
